,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
7996,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943486,Bystřice nad Pernštejnem,49.517715,16.258234,22.062553868178462
7997,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110026179,Žďár nad Sázavou,49.566429,15.93214,11.86116014800506
7999,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110031334,Žďár nad Sázavou,49.557691,15.939988,10.801637116539144
8000,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047946,Jihlava,49.386967,15.593135,28.165314440113434
8001,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110250591,Třebíč,49.224915,15.891465,26.88937651729627
8002,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110250842,Velká Bíteš,49.291349,16.222598,26.59467876591983
8781,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102006881,Havlíčkův Brod,49.609084,15.580284,27.574193966617006
8784,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102018006,Havlíčkův Brod,49.602624,15.579104,26.92245206065028
8786,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047741,Jihlava,49.397998,15.585825,8.81693535110397
8787,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047750,Telč,49.182964,15.44864,28.08914121609491
8788,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047920,Jihlava,49.397335,15.583685,8.94312848226024
8789,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047792,Jihlava,49.398965,15.586577,8.798276526269788
8790,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047938,Jihlava,49.39907,15.590673,8.521214660203151
8791,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,44065663,Třebíč,49.213896,15.885973,22.252643266973525
8793,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,559237,Třebíč,49.213958,15.88156,22.056623458487568
8794,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,566900,Třebíč,49.222974,15.867134,20.630666851372894
8796,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108027457,Žďár nad Sázavou,49.567574,15.933153,27.24504249384833
8797,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102943508,Velké Meziříčí,49.351674,16.020545,23.206428279567696
8799,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102943516,Žďár nad Sázavou,49.565058,15.944092,27.520564679432233
8800,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102943559,Žďár nad Sázavou,49.565627,15.943057,27.521955936166055
8802,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110026179,Žďár nad Sázavou,49.566429,15.93214,27.099713265322627
8803,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110030559,Havlíčkův Brod,49.609529,15.575103,27.742396967688748
8804,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110031334,Žďár nad Sázavou,49.557691,15.939988,26.702172589571248
8805,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047946,Jihlava,49.386967,15.593135,8.006550709740619
8806,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110250591,Třebíč,49.224915,15.891465,21.535885483529416
8875,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,102403562,Dačice,49.083139,15.428631,23.469547633467684
9582,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,367761,Humpolec,49.541758,15.35375,29.388794049404986
