,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
5207,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,107881004,Zábřeh,49.88341,16.889105,23.107180594564554
5211,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,150004451,Olomouc,49.598299,17.27078,18.90183817153066
5212,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,110010167,Prostějov,49.47446,17.110847,27.218836124843357
5213,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,110030818,Olomouc,49.596365,17.245249,17.816228489379967
5214,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,110010221,Šumperk,49.964818,16.972643,28.53771578259843
5216,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,130002445,Šumperk,49.97303,16.978006,29.311027164285854
5217,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,110300602,Prostějov,49.468929,17.116801,27.864076386539555
5218,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,151035806,Olomouc,49.609506,17.265322,17.75102427967445
5233,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,87173,Jevíčko,49.631077,16.707874,28.858910991812046
5256,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,250000016,Moravská Třebová,49.752767,16.673615,29.834637154267497
5974,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,103019715,Prostějov,49.473869,17.118552,23.553015320427196
5975,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,103031642,Prostějov,49.471651,17.107419,24.383927354098642
5976,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,103019731,Prostějov,49.474514,17.110269,24.060293229801832
5977,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,47921838,Prostějov,49.474921,17.110188,24.04615335461138
5978,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,110012216,Prostějov,49.467909,17.11623,24.00223924546299
5979,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,601799,Olomouc,49.602377,17.238502,13.069432186194268
5980,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,848956,Olomouc,49.578484,17.23574,12.73402378284818
5981,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,601781,Olomouc,49.595207,17.262989,11.149586153566384
5982,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,601764,Šternberk,49.731998,17.300598,19.9901361919522
5984,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,110300572,Olomouc,49.610705,17.261093,11.871523101384204
5985,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,848794,Šternberk,49.729516,17.300844,19.730342496584104
5986,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,601748,Olomouc,49.594679,17.264321,11.041066032430173
5987,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,14585235,Olomouc,49.60505,17.280097,10.364807665145646
5988,CZ0713,589454.0,Doloplazy,540.0,49.5671778,17.4114741,61942839,Olomouc,49.590318,17.249762,11.939851220205796
